y_true,is_brca2,ref_len,alt_len,len_diff,vtype_single_nucleotide_variant,vtype_deletion,vtype_insertion,vtype_duplication,vtype_microsatellite,vtype_indel,vtype_other_vtype,pos_norm
1,0.2863615800440311,-0.35584204717539253,0.17655353050678968,0.5284291042108089,-3.803286677093711,-1.689843288436532,-0.011877602711319924,-0.2658710967004299,-0.16893477469682694,-0.09131375357508659,0.0,0.2774437485556621
0,-0.2966070893779397,-0.14442862573545426,0.18005578245967627,-0.21404716428136453,-1.7673641508445144,-0.8209314426034688,-0.0015578022971749306,-0.21990366228390484,-0.050048390924930575,-0.09732550039887428,0.0,-0.20560342662059952
1,-0.31143955592066047,0.024663836505496875,0.06412399876862765,0.9402119626151397,1.5262083145976066,-0.3323794039338827,0.506432786686346,-0.04582222648896277,-0.03875076651573181,-0.003302130401134491,0.0,-0.41187581171556364
1,-0.20645579658448696,0.37128925919067113,0.2833740007481538,-0.2943497098982334,0.6752105095982551,0.5592164881527424,-0.0093839081376791,-0.0715913992933929,-0.007169248834252358,-0.007964268624782563,0.0,-0.24606115564267822
1,0.33561568582430484,-0.09132381543982775,-0.2725924565421883,1.1347930124518462,0.6170982052385807,-0.18792093212716282,-0.003784696310758591,0.579733504243195,-0.017535007586702706,-0.006109262928366661,0.0,0.37271557675953965
0,0.4018855541199446,-0.3956108538620174,0.04223290595691651,0.21513958952156828,-2.289501660875976,-1.045849694982171,-0.03390183839946985,-0.15585655268281698,-0.04789328843355179,-0.04527309447526932,0.0,0.34461169723593416
1,-0.7418629858130589,-0.3734028056357056,0.29096985314041374,-0.018125809421762826,-2.864478456825018,-1.5246988506615162,-0.021852753907442093,-0.1516592452675104,-0.07865708142518997,-0.05200408548116684,0.0,-0.5708147406909441
1,-0.3313553979620337,-0.27296180272707715,0.20091947002336383,-0.20983798515982927,-1.8567904764600098,-0.8118800979107619,-0.021736533865332603,-0.17961372585501523,-0.018543539643287657,-0.2709648007154465,0.0,-0.214054946088421
1,0.17618542939424514,0.24416381514514796,0.02225748663302511,-0.26636607232037934,1.5734880770742894,0.9416794607881457,-0.002817369122058153,0.0016213897382840515,-0.002733358331024647,-0.004680231511592865,0.0,0.2332237540692538
1,0.350917803645134,-0.5531581864878535,-0.2786540477629751,-0.09684955441276542,-2.9676859932392836,-1.2103632174618542,-0.004739315509796143,-0.33953422151505946,-0.10455192252993584,-0.10995107769966125,0.0,0.28996076358518585
